ID|Titel|Inhalt|Autor|Kategorie|Sentiment|Wortanzahl|Datum|Uhrzeit|Quelle|Shares
1|Neue Entwicklungen in der Technologiebranche verändern das Internet|Die digitalen Zukunftsvisionäre präzisen...|Amy Johnson|Technologie|positiv|650.0|2024-03-07|11:32|TechNews|2800.0
2|Wirtschaftskrisen im Jahr 2025: Eine Prognose|Die Wirtschaftswelten erforschen die wahrscheinlichen Auswirkungen...|John Doe|Wirtschaft|neutral|370.0|2024-01-19|16:47|FinanceDaily|450.0
3|Der neue Weg in der Kryptosphäre: Ethereum überholt Bitcoin?|Experten diskutieren die Möglichkeiten einer Ethereum-Dominanz...|Max Mustermann|Kryptowährungen|neutral|789.0|2024-03-01|09:58|CryptoTimes|2600.0
4|Die Wirtschaftskrise von 2026: Eine Rettungsinitiative|Die Wirtschaftswelten erforschen die Notwendigkeit und Wirksamkeit...|Emily Johnson|Wirtschaft|negativ|530.0|2024-12-28|20:11|FinanceDaily|4700.0
5|Die neuen Trends im Sportbereich 2026|Sportjournalisten diskutieren die neuesten Trends und Entwicklungen...|James Doe|Sport|positiv|890.0|2024-01-30|12:05|SportExpress|1700.0
6|Ein neues Zeitalter für die Gesundheit: Die Rolle der künstlichen Intelligenz|Experten diskutieren die Möglichkeiten und Potenziale...|Lisa Brown|Gesundheit|positiv|435.0|2024-01-23|19:22|HealthWeekly|3800.0
7|Die Energiewende 2027: Ein Schritt in die klimafreundliche Zukunft|Fachleute diskutieren die notwendigen Schritte...|David White|Energie|positiv|512.0|2024-03-09|08:16|EnergyReview|1700.0
8|Politische Umbrüche 2028: Eine Vorhersage|Politikwissenschaftler diskutieren die möglichen Auswirkungen...|Michael Johnson|Politik|neutral|634.0|2024-01-15|17:39|WorldPolitics|3400.0
9|Kryptowährungen 2029: Ein neuer Goldrausch?|Experten diskutieren die Möglichkeiten und Grenzen...|Sophia Brown|Kryptowährungen|positiv|750.0|2024-03-16|18:17|CryptoTimes|4900.0
10|Die Zukunft der Wissenschaft: Eine Erörterung von Neuentwicklungen und Perspektiven...|Wissenschaftler diskutieren die Möglichkeiten und Grenzen...|Emily White|Wissenschaft|positiv|832.0|2024-11-05|16:07|ScienceToday|1900.0
11|Neue Ernährungstrends 2030: Ein Blick auf die Zukunft|Fachleute diskutieren die neuesten Trends und Entwicklungen...|John Smith|Ernährung|positiv|567.0|2024-01-29|21:08|HealthWeekly|3200.0
12|Die digitale Zukunft: Wie wird die Welt verändert?|Fachleute diskutieren die Möglichkeiten und Grenzen...|Max Schmidt|Technologie|positiv|498.0|2024-03-16|15:22|TechNews|2700.0
13|Die wirtschaftlichen Auswirkungen der COVID-19-Pandemie im Jahr 2022|Fachleute diskutieren die wirtschaftlichen Konsequenzen...|John Doe|Wirtschaft|negativ|546.0|2024-03-07|10:16|FinanceDaily|4800.0
14|Die nächsten Schritte in der Kryptosphäre: Will Bitcoin erneut anstiegen?|Experten diskutieren die Möglichkeiten...|Max Mustermann|Kryptowährungen|positiv|325.0|2024-01-26|19:58|CryptoTimes|3700.0
15|Die wirtschaftlichen Auswirkungen der COVID-19-Pandemie im Jahr 2023|Fachleute diskutieren die wirtschaftlichen Konsequenzen...|Emily Johnson|Wirtschaft|negativ|680.0|2024-12-07|23:59|FinanceDaily|4500.0
16|Die nächsten Trends im Sportbereich 2025|Sportjournalisten diskutieren die neuesten Trends und Entwicklungen...|James Doe|Sport|positiv|897.0|2024-03-17|00:00|SportExpress|1600.0
17|Die Rolle der künstlichen Intelligenz in der Gesundheit 2025|Experten diskutieren die Möglichkeiten und Grenzen...|Lisa Brown|Gesundheit|positiv|439.0|2024-01-28|07:46|HealthWeekly|3400.0
18|Die nächsten Schritte in der Energiewende 2025|Fachleute diskutieren die notwendigen Schritte...|David White|Energie|positiv|518.0|2024-03-17|09:16|EnergyReview|1600.0
19|Politische Umbrüche 2026: Eine Vorhersage|Politikwissenschaftler diskutieren die möglichen Auswirkungen...|Michael Johnson|Politik|neutral|637.0|2024-01-23|19:28|WorldPolitics|3300.0
20|Kryptowährungen 2027: Ein neuer Goldrausch?|Experten diskutieren die Möglichkeiten und Grenzen...|Sophia Brown|Kryptowährungen|positiv|756.0|2024-03-18|09:17|CryptoTimes|4900.0
21|Die Zukunft der Wissenschaft: Eine Erörterung von Neuentwicklungen und Perspektiven...|Wissenschaftler diskutieren die Möglichkeiten und Grenzen...|Emily White|Wissenschaft|positiv|837.0|2024-11-05|16:09|ScienceToday|1900.0
